SecurityID,OptionID,Exchange,Currency,Bid,UnderlyingBid,Ask,UnderlyingAsk,Last,UnderlyingLast,ImpliedVolatility,Delta,Gamma,Vega,Theta,CalculationPrice,Volume,OpenInterest,SpecialSettlement,ReferenceExchange,Date,BidTime,AskTime,LastTime,Description,Strike,CallPut,ContractSize,OptionStyle,Version,ExerciseStyle,Expiration,StartDate,VALOR,Issuer,SEDOL,ISIN
500096,151976959,21,814,-99.98999786,76.379997253,-99.98999786,76.379997253,44.38999939,76.379997253,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-07,0:00:00,0:00:00,17:48:00,ADS C 32 JUN13,32000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976959,21,814,-99.98999786,79.75,-99.98999786,79.75,47.759998322,79.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-15,0:00:00,0:00:00,17:54:00,ADS C 32 JUN13,32000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976959,21,814,-99.98999786,76.199996948,-99.98999786,76.199996948,44.209999084,76.199996948,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-08,0:00:00,0:00:00,17:45:00,ADS C 32 JUN13,32000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976959,21,814,-99.98999786,78.88999939,-99.98999786,78.88999939,46.900001526,78.88999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-13,0:00:00,0:00:00,17:51:00,ADS C 32 JUN13,32000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976959,21,814,-99.98999786,78.269996643,-99.98999786,78.269996643,46.279998779,78.269996643,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-12,0:00:00,0:00:00,17:58:00,ADS C 32 JUN13,32000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976959,21,814,-99.98999786,70.279998779,-99.98999786,70.279998779,38.290000916,70.279998779,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-04,0:00:00,0:00:00,17:50:00,ADS C 32 JUN13,32000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976959,21,814,-99.98999786,70.540000916,-99.98999786,70.540000916,38.549999237,70.540000916,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-01,0:00:00,0:00:00,17:44:00,ADS C 32 JUN13,32000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976959,21,814,-99.98999786,71.669998169,-99.98999786,71.669998169,39.680000305,71.669998169,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-06,0:00:00,0:00:00,17:46:00,ADS C 32 JUN13,32000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976959,21,814,-99.98999786,71.63999939,-99.98999786,71.63999939,39.659999847,71.63999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-05,0:00:00,0:00:00,18:04:00,ADS C 32 JUN13,32000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976959,21,814,-99.98999786,78.900001526,-99.98999786,78.900001526,46.909999847,78.900001526,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-14,0:00:00,0:00:00,17:52:00,ADS C 32 JUN13,32000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976959,21,814,-99.98999786,77.75,-99.98999786,77.75,45.759998322,77.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-11,0:00:00,0:00:00,17:53:00,ADS C 32 JUN13,32000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976960,21,814,-99.98999786,79.75,-99.98999786,79.75,0.0099999998,79.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,320,0,44,2013-03-15,0:00:00,0:00:00,17:54:00,ADS P 32 JUN13,32000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976960,21,814,-99.98999786,76.199996948,-99.98999786,76.199996948,0.0099999998,76.199996948,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,320,0,44,2013-03-08,0:00:00,0:00:00,17:45:00,ADS P 32 JUN13,32000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976960,21,814,-99.98999786,70.540000916,-99.98999786,70.540000916,0.0099999998,70.540000916,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,320,0,44,2013-03-01,0:00:00,0:00:00,17:44:00,ADS P 32 JUN13,32000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976960,21,814,-99.98999786,71.669998169,-99.98999786,71.669998169,0.0099999998,71.669998169,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,320,0,44,2013-03-06,0:00:00,0:00:00,17:46:00,ADS P 32 JUN13,32000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976960,21,814,-99.98999786,70.279998779,-99.98999786,70.279998779,0.0099999998,70.279998779,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,320,0,44,2013-03-04,0:00:00,0:00:00,17:50:00,ADS P 32 JUN13,32000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976960,21,814,-99.98999786,77.75,-99.98999786,77.75,0.0099999998,77.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,320,0,44,2013-03-11,0:00:00,0:00:00,17:53:00,ADS P 32 JUN13,32000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976960,21,814,-99.98999786,78.269996643,-99.98999786,78.269996643,0.0099999998,78.269996643,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,320,0,44,2013-03-12,0:00:00,0:00:00,17:58:00,ADS P 32 JUN13,32000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976960,21,814,-99.98999786,71.63999939,-99.98999786,71.63999939,0.0099999998,71.63999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,320,0,44,2013-03-05,0:00:00,0:00:00,18:04:00,ADS P 32 JUN13,32000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976960,21,814,-99.98999786,76.379997253,-99.98999786,76.379997253,0.0099999998,76.379997253,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,320,0,44,2013-03-07,0:00:00,0:00:00,17:48:00,ADS P 32 JUN13,32000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976960,21,814,-99.98999786,78.900001526,-99.98999786,78.900001526,0.0099999998,78.900001526,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,320,0,44,2013-03-14,0:00:00,0:00:00,17:52:00,ADS P 32 JUN13,32000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976960,21,814,-99.98999786,78.88999939,-99.98999786,78.88999939,0.0099999998,78.88999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,320,0,44,2013-03-13,0:00:00,0:00:00,17:51:00,ADS P 32 JUN13,32000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976961,21,814,-99.98999786,70.279998779,-99.98999786,70.279998779,34.299999237,70.279998779,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-04,0:00:00,0:00:00,17:50:00,ADS C 36 JUN13,36000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976961,21,814,-99.98999786,71.63999939,-99.98999786,71.63999939,35.659999847,71.63999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-05,0:00:00,0:00:00,18:04:00,ADS C 36 JUN13,36000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976961,21,814,-99.98999786,78.900001526,-99.98999786,78.900001526,42.909999847,78.900001526,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-14,0:00:00,0:00:00,17:52:00,ADS C 36 JUN13,36000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976961,21,814,-99.98999786,71.669998169,-99.98999786,71.669998169,35.689998627,71.669998169,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-06,0:00:00,0:00:00,17:46:00,ADS C 36 JUN13,36000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976961,21,814,-99.98999786,78.269996643,-99.98999786,78.269996643,42.279998779,78.269996643,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-12,0:00:00,0:00:00,17:58:00,ADS C 36 JUN13,36000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976961,21,814,-99.98999786,78.88999939,-99.98999786,78.88999939,42.900001526,78.88999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-13,0:00:00,0:00:00,17:51:00,ADS C 36 JUN13,36000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976961,21,814,-99.98999786,76.379997253,-99.98999786,76.379997253,40.38999939,76.379997253,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-07,0:00:00,0:00:00,17:48:00,ADS C 36 JUN13,36000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976961,21,814,-99.98999786,79.75,-99.98999786,79.75,43.759998322,79.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-15,0:00:00,0:00:00,17:54:00,ADS C 36 JUN13,36000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976961,21,814,-99.98999786,70.540000916,-99.98999786,70.540000916,34.549999237,70.540000916,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-01,0:00:00,0:00:00,17:44:00,ADS C 36 JUN13,36000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976961,21,814,-99.98999786,76.199996948,-99.98999786,76.199996948,40.209999084,76.199996948,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-08,0:00:00,0:00:00,17:45:00,ADS C 36 JUN13,36000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976961,21,814,-99.98999786,77.75,-99.98999786,77.75,41.770000458,77.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-11,0:00:00,0:00:00,17:53:00,ADS C 36 JUN13,36000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976962,21,814,-99.98999786,70.279998779,-99.98999786,70.279998779,0.0199999996,70.279998779,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,416,0,44,2013-03-04,0:00:00,0:00:00,17:50:00,ADS P 36 JUN13,36000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976962,21,814,-99.98999786,78.269996643,-99.98999786,78.269996643,0.0099999998,78.269996643,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,416,0,44,2013-03-12,0:00:00,0:00:00,17:58:00,ADS P 36 JUN13,36000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976962,21,814,-99.98999786,76.199996948,-99.98999786,76.199996948,0.0099999998,76.199996948,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,416,0,44,2013-03-08,0:00:00,0:00:00,17:45:00,ADS P 36 JUN13,36000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976962,21,814,-99.98999786,78.900001526,-99.98999786,78.900001526,0.0099999998,78.900001526,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,416,0,44,2013-03-14,0:00:00,0:00:00,17:52:00,ADS P 36 JUN13,36000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976962,21,814,-99.98999786,78.88999939,-99.98999786,78.88999939,0.0099999998,78.88999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,416,0,44,2013-03-13,0:00:00,0:00:00,17:51:00,ADS P 36 JUN13,36000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976962,21,814,-99.98999786,70.540000916,-99.98999786,70.540000916,0.0199999996,70.540000916,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,416,0,44,2013-03-01,0:00:00,0:00:00,17:44:00,ADS P 36 JUN13,36000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976962,21,814,-99.98999786,76.379997253,-99.98999786,76.379997253,0.0099999998,76.379997253,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,416,0,44,2013-03-07,0:00:00,0:00:00,17:48:00,ADS P 36 JUN13,36000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976962,21,814,-99.98999786,79.75,-99.98999786,79.75,0.0099999998,79.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,416,0,44,2013-03-15,0:00:00,0:00:00,17:54:00,ADS P 36 JUN13,36000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976962,21,814,-99.98999786,71.63999939,-99.98999786,71.63999939,0.0099999998,71.63999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,416,0,44,2013-03-05,0:00:00,0:00:00,18:04:00,ADS P 36 JUN13,36000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976962,21,814,-99.98999786,71.669998169,-99.98999786,71.669998169,0.0099999998,71.669998169,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,416,0,44,2013-03-06,0:00:00,0:00:00,17:46:00,ADS P 36 JUN13,36000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976962,21,814,-99.98999786,77.75,-99.98999786,77.75,0.0099999998,77.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,416,0,44,2013-03-11,0:00:00,0:00:00,17:53:00,ADS P 36 JUN13,36000,P,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976963,21,814,-99.98999786,78.88999939,-99.98999786,78.88999939,38.900001526,78.88999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-13,0:00:00,0:00:00,17:51:00,ADS C 40 JUN13,40000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976963,21,814,-99.98999786,79.75,-99.98999786,79.75,39.759998322,79.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-15,0:00:00,0:00:00,17:54:00,ADS C 40 JUN13,40000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976963,21,814,-99.98999786,78.269996643,-99.98999786,78.269996643,38.279998779,78.269996643,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-12,0:00:00,0:00:00,17:58:00,ADS C 40 JUN13,40000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976963,21,814,-99.98999786,71.669998169,-99.98999786,71.669998169,31.690000534,71.669998169,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-06,0:00:00,0:00:00,17:46:00,ADS C 40 JUN13,40000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976963,21,814,-99.98999786,71.63999939,-99.98999786,71.63999939,31.659999847,71.63999939,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-05,0:00:00,0:00:00,18:04:00,ADS C 40 JUN13,40000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976963,21,814,-99.98999786,70.279998779,-99.98999786,70.279998779,30.299999237,70.279998779,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-04,0:00:00,0:00:00,17:50:00,ADS C 40 JUN13,40000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976963,21,814,-99.98999786,77.75,-99.98999786,77.75,37.770000458,77.75,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-11,0:00:00,0:00:00,17:53:00,ADS C 40 JUN13,40000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
500096,151976963,21,814,-99.98999786,76.379997253,-99.98999786,76.379997253,36.38999939,76.379997253,-99.98999786,-99.98999786,-99.98999786,-99.98999786,-99.98999786,S,0,0,0,44,2013-03-07,0:00:00,0:00:00,17:48:00,ADS C 40 JUN13,40000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0
